State Name,Agency Name,Agency ID - NCES Assigned,County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,School Level,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio,School ID - NCES Assigned,School Name,District Entity ID,District Name,Percent Passing,Subject
Arizona,Nogales Unified District,"=""0405530""",Santa Cruz County,"=""04023""",2-No,5-Title I schoolwide school,"=""0403""",Yes under Provision 2,1-Primary,420,417,217,203,1,"=""0""",417,"=""0""",2,"=""0""","=""0""",20.00,21.00,"=""040553000451""",A J Mitchell Elementary School,4457,Nogales Unified District,26,English Language Arts
Arizona,Nogales Unified District,"=""0405530""",Santa Cruz County,"=""04023""",2-No,5-Title I schoolwide school,"=""0403""",Yes under Provision 2,1-Primary,420,417,217,203,1,"=""0""",417,"=""0""",2,"=""0""","=""0""",20.00,21.00,"=""040553000451""",A J Mitchell Elementary School,4457,Nogales Unified District,17,Math
Arizona,Marana Unified District,"=""0404630""",Pima County,"=""04019""",2-No,4-Title I schoolwide eligible school-No program,"=""0401""",No,3-High,10,7,9,1,1,"=""0""",4,"=""0""",4,"=""0""",1,8.25,1.21,"=""040463000999""",A. C. E.,4404,Marana Unified District,*,English Language Arts
Arizona,Marana Unified District,"=""0404630""",Pima County,"=""04019""",2-No,4-Title I schoolwide eligible school-No program,"=""0401""",No,3-High,10,7,9,1,1,"=""0""",4,"=""0""",4,"=""0""",1,8.25,1.21,"=""040463000999""",A. C. E.,4404,Marana Unified District,*,Math
Arizona,Arizona Agribusiness & Equine Center  Inc.,"=""0400106""",Maricopa County,"=""04013""",1-Yes,6-Not a Title I school,"=""0406""",No,3-High,383,35,133,250,"=""0""",16,49,14,297,2,5,–,†,"=""040010601892""",AAEC - Paradise Valley,4331,"Arizona Agribusiness & Equine Center, Inc.",60,English Language Arts
Arizona,Arizona Agribusiness & Equine Center  Inc.,"=""0400106""",Maricopa County,"=""04013""",1-Yes,6-Not a Title I school,"=""0406""",No,3-High,383,35,133,250,"=""0""",16,49,14,297,2,5,–,†,"=""040010601892""",AAEC - Paradise Valley,4331,"Arizona Agribusiness & Equine Center, Inc.",50,Math
Arizona,Arizona Agribusiness & Equine Center  Inc.,"=""0400417""",Maricopa County,"=""04013""",1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,"=""0407""",Yes participating without using any Provision or the CEO,3-High,419,291,184,235,3,2,341,32,40,"=""0""",1,–,†,"=""040041701588""",AAEC - SMCC Campus,85816,"Arizona Agribusiness & Equine Center, Inc.",39,English Language Arts
Arizona,Arizona Agribusiness & Equine Center  Inc.,"=""0400417""",Maricopa County,"=""04013""",1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,"=""0407""",Yes participating without using any Provision or the CEO,3-High,419,291,184,235,3,2,341,32,40,"=""0""",1,–,†,"=""040041701588""",AAEC - SMCC Campus,85816,"Arizona Agribusiness & Equine Center, Inc.",38,Math
Arizona,Prescott Unified District,"=""0406730""",Yavapai County,"=""04025""",2-No,5-Title I schoolwide school,"=""0404""",Yes participating without using any Provision or the CEO,1-Primary,506,222,259,247,12,6,62,6,406,1,13,27.74,18.24,"=""040673001433""",Abia Judd Elementary School,4466,Prescott Unified District,67,English Language Arts
Arizona,Prescott Unified District,"=""0406730""",Yavapai County,"=""04025""",2-No,5-Title I schoolwide school,"=""0404""",Yes participating without using any Provision or the CEO,1-Primary,506,222,259,247,12,6,62,6,406,1,13,27.74,18.24,"=""040673001433""",Abia Judd Elementary School,4466,Prescott Unified District,59,Math
Arizona,Washington Elementary School District,"=""0409060""",Maricopa County,"=""04013""",2-No,4-Title I schoolwide eligible school-No program,"=""0406""",Yes under Community Eligibility Option (CEO),1-Primary,606,606,296,310,8,52,242,31,246,4,23,29.30,20.68,"=""040906000652""",Abraham Lincoln Traditional School,4260,Washington Elementary School District,68,English Language Arts
Arizona,Washington Elementary School District,"=""0409060""",Maricopa County,"=""04013""",2-No,4-Title I schoolwide eligible school-No program,"=""0406""",Yes under Community Eligibility Option (CEO),1-Primary,606,606,296,310,8,52,242,31,246,4,23,29.30,20.68,"=""040906000652""",Abraham Lincoln Traditional School,4260,Washington Elementary School District,68,Math
