State Name,Agency Name,Agency ID - NCES Assigned,County Name,County Number,Charter School,Title I School Status,Congressional Code,School Level,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio,National School Lunch Program,School ID - NCES Assigned,School Name,District Entity ID,District Name,Percent Passing,Subject
Arizona,Nogales Unified District,"=""0405530""",Santa Cruz County,"=""04023""",2-No,5-Title I schoolwide school,"=""0403""",Elementary,406,373,211,195,"=""0""","=""0""",405,"=""0""",1,"=""0""","=""0""",20.50,19.80,Yes under Provision 2,"=""040553000451""",A J Mitchell Elementary School,4457,Nogales Unified District,28,English Language Arts
Arizona,Nogales Unified District,"=""0405530""",Santa Cruz County,"=""04023""",2-No,5-Title I schoolwide school,"=""0403""",Elementary,406,373,211,195,"=""0""","=""0""",405,"=""0""",1,"=""0""","=""0""",20.50,19.80,Yes under Provision 2,"=""040553000451""",A J Mitchell Elementary School,4457,Nogales Unified District,21,Math
Arizona,Marana Unified District,"=""0404630""",Pima County,"=""04019""",2-No,4-Title I schoolwide eligible school-No program,"=""0401""",High,10,–,6,4,"=""0""","=""0""",7,"=""0""",2,"=""0""",1,6.80,1.47,No,"=""040463000999""",A. C. E.,4404,Marana Unified District,*,English Language Arts
Arizona,Marana Unified District,"=""0404630""",Pima County,"=""04019""",2-No,4-Title I schoolwide eligible school-No program,"=""0401""",High,10,–,6,4,"=""0""","=""0""",7,"=""0""",2,"=""0""",1,6.80,1.47,No,"=""040463000999""",A. C. E.,4404,Marana Unified District,*,Math
Arizona,Arizona Agribusiness & Equine Center Inc. 1,"=""0400106""",Maricopa County,"=""04013""",1-Yes,6-Not a Title I school,"=""0406""",High,313,–,107,206,1,12,47,10,239,1,3,–,†,No,"=""040010601892""",AAEC - Paradise Valley,4331,"Arizona Agribusiness & Equine Center, Inc.",62,English Language Arts
Arizona,Arizona Agribusiness & Equine Center Inc. 1,"=""0400106""",Maricopa County,"=""04013""",1-Yes,6-Not a Title I school,"=""0406""",High,313,–,107,206,1,12,47,10,239,1,3,–,†,No,"=""040010601892""",AAEC - Paradise Valley,4331,"Arizona Agribusiness & Equine Center, Inc.",58,Math
Arizona,Arizona Agribusiness & Equine Center Inc. 2,"=""0400417""",Maricopa County,"=""04013""",1-Yes,6-Not a Title I school,"=""0407""",High,444,–,194,250,4,"=""0""",371,34,33,"=""0""",2,–,†,Yes participating without using any Provision or the CEO,"=""040041701588""",AAEC - SMCC Campus,85816,"Arizona Agribusiness & Equine Center, Inc.",45,English Language Arts
Arizona,Arizona Agribusiness & Equine Center Inc. 2,"=""0400417""",Maricopa County,"=""04013""",1-Yes,6-Not a Title I school,"=""0407""",High,444,–,194,250,4,"=""0""",371,34,33,"=""0""",2,–,†,Yes participating without using any Provision or the CEO,"=""040041701588""",AAEC - SMCC Campus,85816,"Arizona Agribusiness & Equine Center, Inc.",28,Math
Arizona,Prescott Unified District,"=""0406730""",Yavapai County,"=""04025""",2-No,5-Title I schoolwide school,"=""0404""",Elementary,517,164,246,271,11,4,70,3,409,1,19,25.60,20.20,Yes participating without using any Provision or the CEO,"=""040673001433""",Abia Judd Elementary School,4466,Prescott Unified District,71,English Language Arts
Arizona,Prescott Unified District,"=""0406730""",Yavapai County,"=""04025""",2-No,5-Title I schoolwide school,"=""0404""",Elementary,517,164,246,271,11,4,70,3,409,1,19,25.60,20.20,Yes participating without using any Provision or the CEO,"=""040673001433""",Abia Judd Elementary School,4466,Prescott Unified District,73,Math
