State Name,County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,Agency Name,Agency ID - NCES Assigned,Total Students All Grades (Excludes AE),School Level,Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Pupil/Teacher Ratio,Full-Time Equivalent (FTE) Teachers,School ID - NCES Assigned,District Entity ID,School Name,District Name,Percent Passing,Subject
Arizona,Santa Cruz County,"=""04023""",2-No,5-Title I schoolwide school,"=""0403""",Yes under Provision 2,Nogales Unified District (4457),"=""0405530""",373,Elementary,342,191,182,"=""0""","=""0""",369,"=""0""",4,"=""0""","=""0""",19.63,19.00,"=""040553000451""",4457,A J Mitchell Elementary School,Nogales Unified District,29,English Language Arts
Arizona,Santa Cruz County,"=""04023""",2-No,5-Title I schoolwide school,"=""0403""",Yes under Provision 2,Nogales Unified District (4457),"=""0405530""",373,Elementary,342,191,182,"=""0""","=""0""",369,"=""0""",4,"=""0""","=""0""",19.63,19.00,"=""040553000451""",4457,A J Mitchell Elementary School,Nogales Unified District,23,Mathematics
Arizona,Pima County,"=""04019""",2-No,4-Title I schoolwide eligible school-No program,"=""0401""",No,Marana Unified District (4404),"=""0404630""",7,High,‡,7,"=""0""","=""0""","=""0""",3,"=""0""",3,"=""0""",1,1.03,6.80,"=""040463000999""",4404,A. C. E.,Marana Unified District,*,English Language Arts
Arizona,Pima County,"=""04019""",2-No,4-Title I schoolwide eligible school-No program,"=""0401""",No,Marana Unified District (4404),"=""0404630""",7,High,‡,7,"=""0""","=""0""","=""0""",3,"=""0""",3,"=""0""",1,1.03,6.80,"=""040463000999""",4404,A. C. E.,Marana Unified District,*,Mathematics
Arizona,Maricopa County,"=""04013""",1-Yes,2-Title I targeted assistance school,"=""0406""",No,Arizona Agribusiness & Equine Center Inc. (4331),"=""0400106""",336,High,–,107,229,1,12,50,12,254,2,5,†,–,"=""040010601892""",4331,AAEC - Paradise Valley,"Arizona Agribusiness & Equine Center, Inc.",58,English Language Arts
Arizona,Maricopa County,"=""04013""",1-Yes,2-Title I targeted assistance school,"=""0406""",No,Arizona Agribusiness & Equine Center Inc. (4331),"=""0400106""",336,High,–,107,229,1,12,50,12,254,2,5,†,–,"=""040010601892""",4331,AAEC - Paradise Valley,"Arizona Agribusiness & Equine Center, Inc.",62,Mathematics
Arizona,Maricopa County,"=""04013""",1-Yes,5-Title I schoolwide school,"=""0407""",Yes participating without using any Provision or the CEO,Arizona Agribusiness & Equine Center Inc. (85816),"=""0400417""",492,High,–,220,272,5,3,404,37,39,"=""0""",4,†,–,"=""040041701588""",85816,AAEC - SMCC Campus,"Arizona Agribusiness & Equine Center, Inc.",51,English Language Arts
Arizona,Maricopa County,"=""04013""",1-Yes,5-Title I schoolwide school,"=""0407""",Yes participating without using any Provision or the CEO,Arizona Agribusiness & Equine Center Inc. (85816),"=""0400417""",492,High,–,220,272,5,3,404,37,39,"=""0""",4,†,–,"=""040041701588""",85816,AAEC - SMCC Campus,"Arizona Agribusiness & Equine Center, Inc.",46,Mathematics
Arizona,Yavapai County,"=""04025""",2-No,5-Title I schoolwide school,"=""0404""",Yes participating without using any Provision or the CEO,Prescott Unified District (4466),"=""0406730""",490,Elementary,141,217,273,5,6,67,4,385,"=""0""",23,18.42,26.60,"=""040673001433""",4466,Abia Judd Elementary School,Prescott Unified District,78,English Language Arts
Arizona,Yavapai County,"=""04025""",2-No,5-Title I schoolwide school,"=""0404""",Yes participating without using any Provision or the CEO,Prescott Unified District (4466),"=""0406730""",490,Elementary,141,217,273,5,6,67,4,385,"=""0""",23,18.42,26.60,"=""040673001433""",4466,Abia Judd Elementary School,Prescott Unified District,70,Mathematics
Arizona,Maricopa County,"=""04013""",2-No,1-Title I targeted assistance eligible school-No program,"=""0406""",Yes under Community Eligibility Option (CEO),Washington Elementary School District (4260),"=""0409060""",610,Elementary,267,290,320,6,40,274,33,224,5,28,18.07,33.75,"=""040906000652""",4260,Abraham Lincoln Traditional School,Washington Elementary School District,66,English Language Arts
Arizona,Maricopa County,"=""04013""",2-No,1-Title I targeted assistance eligible school-No program,"=""0406""",Yes under Community Eligibility Option (CEO),Washington Elementary School District (4260),"=""0409060""",610,Elementary,267,290,320,6,40,274,33,224,5,28,18.07,33.75,"=""040906000652""",4260,Abraham Lincoln Traditional School,Washington Elementary School District,66,Mathematics
Arizona,Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0406""",Yes under Community Eligibility Option (CEO),Washington Elementary School District (4260),"=""0409060""",865,Elementary,647,447,418,15,14,403,50,350,2,31,18.99,45.55,"=""040906000915""",4260,Acacia Elementary School,Washington Elementary School District,60,English Language Arts
Arizona,Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0406""",Yes under Community Eligibility Option (CEO),Washington Elementary School District (4260),"=""0409060""",865,Elementary,647,447,418,15,14,403,50,350,2,31,18.99,45.55,"=""040906000915""",4260,Acacia Elementary School,Washington Elementary School District,57,Mathematics
Arizona,Pima County,"=""04019""",2-No,–,"=""0402""",Yes participating without using any Provision or the CEO,Vail Unified District (4413),"=""0408850""",728,Elementary,239,399,329,2,6,265,19,392,2,42,19.11,38.10,"=""040885001510""",4413,Acacia Elementary School,Vail Unified District,67,English Language Arts
