State Name,County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,School Level,Agency Name,Agency ID - NCES Assigned,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio,School ID - NCES Assigned,District Entity ID,School Name,District Name,Percent Passing,Subject
Arizona,Santa Cruz County,4023.0,2-No,5-Title I schoolwide school,403.0,Yes under Community Eligibility Option (CEO),Elementary,Nogales Unified District (4457),405530.0,294,269,152,142,0,0,292,2,0,0,0,17.00,17.29,"=""040553000451""",4457,A J Mitchell Elementary School,Nogales Unified District,18,English Language Arts
Arizona,Santa Cruz County,4023.0,2-No,5-Title I schoolwide school,403.0,Yes under Community Eligibility Option (CEO),Elementary,Nogales Unified District (4457),405530.0,294,269,152,142,0,0,292,2,0,0,0,17.00,17.29,"=""040553000451""",4457,A J Mitchell Elementary School,Nogales Unified District,11,Mathematics
ARIZONA,Pinal County,4021.0,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,401.0,Yes participating without using any Provision or the CEO,High,A+ Charter Schools (1000166),400998.0,249,36,147,102,2,2,105,33,91,1,15,–,–,"=""040099803681""",1000166,A+ Charter Schools,A+ Charter Schools,38,English Language Arts
ARIZONA,Pinal County,4021.0,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,401.0,Yes participating without using any Provision or the CEO,High,A+ Charter Schools (1000166),400998.0,249,36,147,102,2,2,105,33,91,1,15,–,–,"=""040099803681""",1000166,A+ Charter Schools,A+ Charter Schools,16,Mathematics
Arizona,Pima County,4019.0,2-No,6-Not a Title I school,401.0,No,High,Marana Unified District (4404),404630.0,10,–,8,2,1,0,6,0,3,0,0,1.00,10.00,"=""040463000999""",4404,A. C. E.,Marana Unified District,*,English Language Arts
Arizona,Pima County,4019.0,2-No,6-Not a Title I school,401.0,No,High,Marana Unified District (4404),404630.0,10,–,8,2,1,0,6,0,3,0,0,1.00,10.00,"=""040463000999""",4404,A. C. E.,Marana Unified District,*,Mathematics
Arizona,Maricopa County,4013.0,1-Yes,2-Title I targeted assistance school,406.0,No,High,Arizona Agribusiness & Equine Center Inc. (4331),400106.0,322,–,117,205,1,8,62,7,230,0,14,–,–,"=""040010601892""",4331,AAEC - Paradise Valley,"Arizona Agribusiness & Equine Center, Inc.",69,English Language Arts
Arizona,Maricopa County,4013.0,1-Yes,2-Title I targeted assistance school,406.0,No,High,Arizona Agribusiness & Equine Center Inc. (4331),400106.0,322,–,117,205,1,8,62,7,230,0,14,–,–,"=""040010601892""",4331,AAEC - Paradise Valley,"Arizona Agribusiness & Equine Center, Inc.",61,Mathematics
Arizona,Maricopa County,4013.0,1-Yes,5-Title I schoolwide school,407.0,Yes participating without using any Provision or the CEO,High,Arizona Agribusiness & Equine Center Inc. (85816),400417.0,499,92,211,288,5,5,427,25,31,0,6,–,–,"=""040041701588""",85816,AAEC - SMCC Campus,"Arizona Agribusiness & Equine Center, Inc.",28,English Language Arts
Arizona,Maricopa County,4013.0,1-Yes,5-Title I schoolwide school,407.0,Yes participating without using any Provision or the CEO,High,Arizona Agribusiness & Equine Center Inc. (85816),400417.0,499,92,211,288,5,5,427,25,31,0,6,–,–,"=""040041701588""",85816,AAEC - SMCC Campus,"Arizona Agribusiness & Equine Center, Inc.",13,Mathematics
ARIZONA,Maricopa County,4013.0,1-Yes,6-Not a Title I school,409.0,No,High,Arizona Agribusiness & Equine Center INC. (134379),400969.0,42,–,15,27,0,3,15,1,21,2,0,–,–,"=""040096903751""",134379,AAEC Online,Arizona Agribusiness & Equine Center INC.,50,English Language Arts
ARIZONA,Maricopa County,4013.0,1-Yes,6-Not a Title I school,409.0,No,High,Arizona Agribusiness & Equine Center INC. (134379),400969.0,42,–,15,27,0,3,15,1,21,2,0,–,–,"=""040096903751""",134379,AAEC Online,Arizona Agribusiness & Equine Center INC.,33,Mathematics
Arizona,Yavapai County,4025.0,2-No,5-Title I schoolwide school,404.0,Yes participating without using any Provision or the CEO,Elementary,Prescott Unified District (4466),406730.0,477,76,235,242,3,6,97,3,345,1,22,32.36,14.74,"=""040673001433""",4466,Abia Judd Elementary School,Prescott Unified District,57,English Language Arts
Arizona,Yavapai County,4025.0,2-No,5-Title I schoolwide school,404.0,Yes participating without using any Provision or the CEO,Elementary,Prescott Unified District (4466),406730.0,477,76,235,242,3,6,97,3,345,1,22,32.36,14.74,"=""040673001433""",4466,Abia Judd Elementary School,Prescott Unified District,58,Mathematics
Arizona,Maricopa County,4013.0,2-No,6-Not a Title I school,406.0,Yes under Community Eligibility Option (CEO),Elementary,Washington Elementary School District (4260),409060.0,530,227,258,272,5,29,268,23,158,4,43,34.30,15.45,"=""040906000652""",4260,Abraham Lincoln Traditional School,Washington Elementary School District,66,English Language Arts
Arizona,Maricopa County,4013.0,2-No,6-Not a Title I school,406.0,Yes under Community Eligibility Option (CEO),Elementary,Washington Elementary School District (4260),409060.0,530,227,258,272,5,29,268,23,158,4,43,34.30,15.45,"=""040906000652""",4260,Abraham Lincoln Traditional School,Washington Elementary School District,50,Mathematics
Arizona,Maricopa County,4013.0,2-No,5-Title I schoolwide school,406.0,Yes under Community Eligibility Option (CEO),Elementary,Washington Elementary School District (4260),409060.0,763,586,388,375,11,12,396,56,253,1,34,44.50,17.15,"=""040906000915""",4260,Acacia Elementary School,Washington Elementary School District,50,English Language Arts
Arizona,Maricopa County,4013.0,2-No,5-Title I schoolwide school,406.0,Yes under Community Eligibility Option (CEO),Elementary,Washington Elementary School District (4260),409060.0,763,586,388,375,11,12,396,56,253,1,34,44.50,17.15,"=""040906000915""",4260,Acacia Elementary School,Washington Elementary School District,40,Mathematics
