Agency Name,Agency ID - NCES Assigned,County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,School Level,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,School ID - NCES Assigned,School Name,District Entity ID,District Name,Average Percent Passing,Year,Charter School Dummy,Male Students Percentage,Female Students Percentage,American Indian/Alaska Native Students Percentage,Asian or Asian/Pacific Islander Students Percentage,Hispanic Students Percentage,Black or African American Students Percentage,White Students Percentage,Nat. Hawaiian or Other Pacific Isl. Students Percentage,Two or More Races Students Percentage,Free and Reduced Lunch Students Percentage,School Level: Primary,School Level: Middle,School Level: High,School Level: Other,Apache County,Cochise County,Coconino County,Gila County,Graham County,Greenlee County,La Paz County,Maricopa County,Mohave County,Navajo County,Pima County,Pinal County,Santa Cruz County,Yavapai County,Yuma County,0403,0401,0406,0407,0404,0402,0405,0409,0408
Nogales Unified District,0405530,Santa Cruz County,04023,2-No,5-Title I schoolwide school,0403,Yes under Provision 2,1-Primary,420,417,217,203,1,0,417,0,2,0,0,040553000451,A J Mitchell Elementary School,4457,Nogales Unified District,21.5,2017,0,0.5166666666666667,0.48333333333333334,0.002380952380952381,0.0,0.9928571428571429,0.0,0.004761904761904762,0.0,0.0,0.9928571428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Marana Unified District,0404630,Pima County,04019,2-No,4-Title I schoolwide eligible school-No program,0401,No,3-High,10,7,9,1,1,0,4,0,4,0,1,040463000999,A. C. E.,4404,Marana Unified District,,2017,0,0.9,0.1,0.1,0.0,0.4,0.0,0.4,0.0,0.1,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Arizona Agribusiness & Equine Center  Inc.,0400106,Maricopa County,04013,1-Yes,6-Not a Title I school,0406,No,3-High,383,35,133,250,0,16,49,14,297,2,5,040010601892,AAEC - Paradise Valley,4331,"Arizona Agribusiness & Equine Center, Inc.",55.0,2017,1,0.3472584856396867,0.6527415143603134,0.0,0.04177545691906005,0.1279373368146214,0.03655352480417755,0.7754569190600522,0.005221932114882507,0.013054830287206266,0.09138381201044386,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Arizona Agribusiness & Equine Center  Inc.,0400417,Maricopa County,04013,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,0407,Yes participating without using any Provision or the CEO,3-High,419,291,184,235,3,2,341,32,40,0,1,040041701588,AAEC - SMCC Campus,85816,"Arizona Agribusiness & Equine Center, Inc.",38.5,2017,1,0.43914081145584727,0.5608591885441527,0.007159904534606206,0.00477326968973747,0.8138424821002387,0.07637231503579953,0.0954653937947494,0.0,0.002386634844868735,0.6945107398568019,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Prescott Unified District,0406730,Yavapai County,04025,2-No,5-Title I schoolwide school,0404,Yes participating without using any Provision or the CEO,1-Primary,506,222,259,247,12,6,62,6,406,1,13,040673001433,Abia Judd Elementary School,4466,Prescott Unified District,63.0,2017,0,0.5118577075098815,0.4881422924901186,0.023715415019762844,0.011857707509881422,0.1225296442687747,0.011857707509881422,0.8023715415019763,0.001976284584980237,0.025691699604743084,0.43873517786561267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Washington Elementary School District,0409060,Maricopa County,04013,2-No,4-Title I schoolwide eligible school-No program,0406,Yes under Community Eligibility Option (CEO),1-Primary,606,606,296,310,8,52,242,31,246,4,23,040906000652,Abraham Lincoln Traditional School,4260,Washington Elementary School District,68.0,2017,0,0.4884488448844885,0.5115511551155115,0.013201320132013201,0.0858085808580858,0.39933993399339934,0.05115511551155116,0.40594059405940597,0.006600660066006601,0.037953795379537955,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Washington Elementary School District,0409060,Maricopa County,04013,2-No,5-Title I schoolwide school,0406,Yes under Community Eligibility Option (CEO),1-Primary,852,852,430,422,23,16,373,42,370,2,26,040906000915,Acacia Elementary School,4260,Washington Elementary School District,59.25,2017,0,0.5046948356807511,0.4953051643192488,0.02699530516431925,0.018779342723004695,0.43779342723004694,0.04929577464788732,0.43427230046948356,0.002347417840375587,0.03051643192488263,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Vail Unified District,0408850,Pima County,04019,2-No,6-Not a Title I school,0402,Yes participating without using any Provision or the CEO,1-Primary,708,209,386,322,1,8,224,10,428,0,37,040885001510,Acacia Elementary School,4413,Vail Unified District,59.25,2017,0,0.5451977401129944,0.4548022598870056,0.0014124293785310734,0.011299435028248588,0.3163841807909605,0.014124293785310734,0.6045197740112994,0.0,0.052259887005649715,0.2951977401129944,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Ed Ahead,0400817,Pima County,04019,1-Yes,5-Title I schoolwide school,0402,Yes under Community Eligibility Option (CEO),1-Primary,67,67,35,32,5,0,30,7,20,0,5,040081703191,Academy Adventures Midtown,90506,Ed Ahead,20.0,2017,1,0.5223880597014925,0.47761194029850745,0.07462686567164178,0.0,0.44776119402985076,0.1044776119402985,0.29850746268656714,0.0,0.07462686567164178,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Academy Del Sol  Inc.,0400797,Pima County,04019,1-Yes,6-Not a Title I school,0402,Yes participating without using any Provision or the CEO,1-Primary,99,,47,52,1,0,61,12,25,0,0,040079702994,Academy Del Sol,90199,"Academy Del Sol, Inc.",33.0,2017,1,0.47474747474747475,0.5252525252525253,0.010101010101010102,0.0,0.6161616161616161,0.12121212121212122,0.25252525252525254,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
