Agency Name,Agency ID - NCES Assigned,County Name,County Number,Charter School,Title I School Status,Congressional Code,School Level,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,National School Lunch Program,School ID - NCES Assigned,School Name,District Entity ID,District Name,Average Percent Passing,Year,Charter School Dummy,Male Students Percentage,Female Students Percentage,American Indian/Alaska Native Students Percentage,Asian or Asian/Pacific Islander Students Percentage,Hispanic Students Percentage,Black or African American Students Percentage,White Students Percentage,Nat. Hawaiian or Other Pacific Isl. Students Percentage,Two or More Races Students Percentage,Free and Reduced Lunch Students Percentage,School Level: Primary,School Level: Middle,School Level: High,School Level: Other,Apache County,Cochise County,Coconino County,Gila County,Graham County,Greenlee County,La Paz County,Maricopa County,Mohave County,Navajo County,Pima County,Pinal County,Santa Cruz County,Yavapai County,Yuma County,0403,0401,0406,0407,0404,0402,0405,0409,0408
Nogales Unified District,0405530,Santa Cruz County,04023,2-No,5-Title I schoolwide school,0403,Elementary,406,373,211,195,0,0,405,0,1,0,0,Yes under Provision 2,040553000451,A J Mitchell Elementary School,4457,Nogales Unified District,24.5,2018,0,0.5197044334975369,0.4802955665024631,0.0,0.0,0.9975369458128078,0.0,0.0024630541871921183,0.0,0.0,0.9187192118226601,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Marana Unified District,0404630,Pima County,04019,2-No,4-Title I schoolwide eligible school-No program,0401,High,10,,6,4,0,0,7,0,2,0,1,No,040463000999,A. C. E.,4404,Marana Unified District,,2018,0,0.6,0.4,0.0,0.0,0.7,0.0,0.2,0.0,0.1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Arizona Agribusiness & Equine Center Inc. 1,0400106,Maricopa County,04013,1-Yes,6-Not a Title I school,0406,High,313,,107,206,1,12,47,10,239,1,3,No,040010601892,AAEC - Paradise Valley,4331,"Arizona Agribusiness & Equine Center, Inc.",60.0,2018,1,0.34185303514376997,0.65814696485623,0.003194888178913738,0.038338658146964855,0.1501597444089457,0.03194888178913738,0.7635782747603834,0.003194888178913738,0.009584664536741214,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Arizona Agribusiness & Equine Center Inc. 2,0400417,Maricopa County,04013,1-Yes,6-Not a Title I school,0407,High,444,,194,250,4,0,371,34,33,0,2,Yes participating without using any Provision or the CEO,040041701588,AAEC - SMCC Campus,85816,"Arizona Agribusiness & Equine Center, Inc.",36.5,2018,1,0.4369369369369369,0.5630630630630631,0.009009009009009009,0.0,0.8355855855855856,0.07657657657657657,0.07432432432432433,0.0,0.0045045045045045045,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Prescott Unified District,0406730,Yavapai County,04025,2-No,5-Title I schoolwide school,0404,Elementary,517,164,246,271,11,4,70,3,409,1,19,Yes participating without using any Provision or the CEO,040673001433,Abia Judd Elementary School,4466,Prescott Unified District,72.0,2018,0,0.4758220502901354,0.5241779497098646,0.02127659574468085,0.007736943907156673,0.13539651837524178,0.005802707930367505,0.7911025145067698,0.0019342359767891683,0.0367504835589942,0.31721470019342357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Washington Elementary School District,0409060,Maricopa County,04013,2-No,1-Title I targeted assistance eligible school-No program,0406,Elementary,608,266,292,316,8,48,257,30,231,4,30,Yes under Community Eligibility Option (CEO),040906000652,Abraham Lincoln Traditional School,4260,Washington Elementary School District,63.5,2018,0,0.48026315789473684,0.5197368421052632,0.013157894736842105,0.07894736842105263,0.42269736842105265,0.049342105263157895,0.37993421052631576,0.006578947368421052,0.049342105263157895,0.4375,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Washington Elementary School District,0409060,Maricopa County,04013,2-No,5-Title I schoolwide school,0406,Elementary,868,650,431,437,23,16,374,53,374,1,27,Yes under Community Eligibility Option (CEO),040906000915,Acacia Elementary School,4260,Washington Elementary School District,61.25,2018,0,0.4965437788018433,0.5034562211981567,0.026497695852534562,0.018433179723502304,0.4308755760368664,0.06105990783410138,0.4308755760368664,0.001152073732718894,0.03110599078341014,0.7488479262672811,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Vail Unified School District,0408850,Pima County,04019,2-No,6-Not a Title I school,0402,Elementary,643,198,349,294,0,6,226,10,361,1,39,Yes participating without using any Provision or the CEO,040885001510,Acacia Elementary School,4413,Vail Unified School District,61.25,2018,0,0.5427682737169518,0.4572317262830482,0.0,0.00933125972006221,0.3514774494556765,0.015552099533437015,0.5614307931570762,0.0015552099533437014,0.060653188180404355,0.30793157076205285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Ed Ahead,0400817,Pima County,04019,1-Yes,5-Title I schoolwide school,0402,Elementary,61,58,37,24,4,0,28,13,14,0,2,Yes under Community Eligibility Option (CEO),040081703191,Academy Adventures Midtown,90506,Ed Ahead,13.5,2018,1,0.6065573770491803,0.39344262295081966,0.06557377049180328,0.0,0.45901639344262296,0.21311475409836064,0.22950819672131148,0.0,0.03278688524590164,0.9508196721311475,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Academy Del Sol  Inc.,0400797,Pima County,04019,1-Yes,6-Not a Title I school,0402,Elementary,85,60,46,39,0,0,56,10,19,0,0,Yes participating without using any Provision or the CEO,040079702994,Academy Del Sol,90199,"Academy Del Sol, Inc.",30.5,2018,1,0.5411764705882353,0.4588235294117647,0.0,0.0,0.6588235294117647,0.11764705882352941,0.2235294117647059,0.0,0.0,0.7058823529411765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
