County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,Agency Name,Agency ID - NCES Assigned,Total Students All Grades (Excludes AE),School Level,Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,School ID - NCES Assigned,District Entity ID,School Name,District Name,Average Percent Passing,Year,Charter School Dummy,Male Students Percentage,Female Students Percentage,American Indian/Alaska Native Students Percentage,Asian or Asian/Pacific Islander Students Percentage,Hispanic Students Percentage,Black or African American Students Percentage,White Students Percentage,Nat. Hawaiian or Other Pacific Isl. Students Percentage,Two or More Races Students Percentage,Free and Reduced Lunch Students Percentage,School Level: Primary,School Level: Middle,School Level: High,School Level: Other,Apache County,Cochise County,Coconino County,Gila County,Graham County,Greenlee County,La Paz County,Maricopa County,Mohave County,Navajo County,Pima County,Pinal County,Santa Cruz County,Yavapai County,Yuma County,0403,0401,0406,0407,0404,0402,0405,0409,0408
Santa Cruz County,04023,2-No,5-Title I schoolwide school,0403,Yes under Provision 2,Nogales Unified District (4457),0405530,373,Elementary,342,191,182,0,0,369,0,4,0,0,040553000451,4457,A J Mitchell Elementary School,Nogales Unified District,26.0,2019,0,0.5120643431635389,0.4879356568364611,0.0,0.0,0.9892761394101877,0.0,0.010723860589812333,0.0,0.0,0.9168900804289544,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Pima County,04019,2-No,4-Title I schoolwide eligible school-No program,0401,No,Marana Unified District (4404),0404630,7,High,,7,0,0,0,3,0,3,0,1,040463000999,4404,A. C. E.,Marana Unified District,,2019,0,1.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.14285714285714285,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Maricopa County,04013,1-Yes,2-Title I targeted assistance school,0406,No,Arizona Agribusiness & Equine Center Inc. (4331),0400106,336,High,,107,229,1,12,50,12,254,2,5,040010601892,4331,AAEC - Paradise Valley,"Arizona Agribusiness & Equine Center, Inc.",60.0,2019,1,0.31845238095238093,0.6815476190476191,0.002976190476190476,0.03571428571428571,0.1488095238095238,0.03571428571428571,0.7559523809523809,0.005952380952380952,0.01488095238095238,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Maricopa County,04013,1-Yes,5-Title I schoolwide school,0407,Yes participating without using any Provision or the CEO,Arizona Agribusiness & Equine Center Inc. (85816),0400417,492,High,,220,272,5,3,404,37,39,0,4,040041701588,85816,AAEC - SMCC Campus,"Arizona Agribusiness & Equine Center, Inc.",48.5,2019,1,0.44715447154471544,0.5528455284552846,0.01016260162601626,0.006097560975609756,0.8211382113821138,0.07520325203252033,0.07926829268292683,0.0,0.008130081300813009,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Yavapai County,04025,2-No,5-Title I schoolwide school,0404,Yes participating without using any Provision or the CEO,Prescott Unified District (4466),0406730,490,Elementary,141,217,273,5,6,67,4,385,0,23,040673001433,4466,Abia Judd Elementary School,Prescott Unified District,74.0,2019,0,0.44285714285714284,0.5571428571428572,0.01020408163265306,0.012244897959183673,0.13673469387755102,0.00816326530612245,0.7857142857142857,0.0,0.04693877551020408,0.28775510204081634,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Maricopa County,04013,2-No,1-Title I targeted assistance eligible school-No program,0406,Yes under Community Eligibility Option (CEO),Washington Elementary School District (4260),0409060,610,Elementary,267,290,320,6,40,274,33,224,5,28,040906000652,4260,Abraham Lincoln Traditional School,Washington Elementary School District,66.0,2019,0,0.47540983606557374,0.5245901639344263,0.009836065573770493,0.06557377049180328,0.4491803278688525,0.054098360655737705,0.36721311475409835,0.00819672131147541,0.04590163934426229,0.4377049180327869,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Maricopa County,04013,2-No,5-Title I schoolwide school,0406,Yes under Community Eligibility Option (CEO),Washington Elementary School District (4260),0409060,865,Elementary,647,447,418,15,14,403,50,350,2,31,040906000915,4260,Acacia Elementary School,Washington Elementary School District,62.5,2019,0,0.5167630057803468,0.48323699421965316,0.017341040462427744,0.016184971098265895,0.4658959537572254,0.057803468208092484,0.4046242774566474,0.0023121387283236996,0.035838150289017344,0.7479768786127168,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pima County,04019,2-No,,0402,Yes participating without using any Provision or the CEO,Vail Unified District (4413),0408850,728,Elementary,239,399,329,2,6,265,19,392,2,42,040885001510,4413,Acacia Elementary School,Vail Unified District,62.5,2019,0,0.5480769230769231,0.4519230769230769,0.0027472527472527475,0.008241758241758242,0.364010989010989,0.0260989010989011,0.5384615384615384,0.0027472527472527475,0.057692307692307696,0.3282967032967033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Pima County,04019,1-Yes,5-Title I schoolwide school,0402,Yes under Community Eligibility Option (CEO),Ed Ahead (90506),0400817,66,Elementary,62,40,26,2,0,34,16,14,0,0,040081703191,90506,Academy Adventures Midtown,Ed Ahead,,2019,1,0.6060606060606061,0.3939393939393939,0.030303030303030304,0.0,0.5151515151515151,0.24242424242424243,0.21212121212121213,0.0,0.0,0.9393939393939394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Pima County,04019,1-Yes,6-Not a Title I school,0402,Yes participating without using any Provision or the CEO,Academy Del Sol Inc. (90199),0400797,136,Elementary,124,75,61,2,0,79,12,38,0,5,040079702994,90199,Academy Del Sol,"Academy Del Sol, Inc.",22.5,2019,1,0.5514705882352942,0.4485294117647059,0.014705882352941176,0.0,0.5808823529411765,0.08823529411764706,0.27941176470588236,0.0,0.03676470588235294,0.9117647058823529,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Pima County,04019,1-Yes,6-Not a Title I school,0403,Yes participating without using any Provision or the CEO,Academy Del Sol Inc. (90199),0400797,656,Elementary,491,340,316,12,4,548,9,76,1,6,040079703230,90199,Academy Del Sol - Hope,"Academy Del Sol, Inc.",47.5,2019,1,0.5182926829268293,0.4817073170731707,0.018292682926829267,0.006097560975609756,0.8353658536585366,0.013719512195121951,0.11585365853658537,0.001524390243902439,0.009146341463414634,0.7484756097560976,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Mohave County,04015,1-Yes,5-Title I schoolwide school,0404,No,Academy of Building Industries Inc. (85540),0400414,119,High,,77,42,3,2,26,2,86,0,0,040041402412,85540,Academy of Building Industries,"Academy of Building Industries, Inc.",,2019,1,0.6470588235294118,0.35294117647058826,0.025210084033613446,0.01680672268907563,0.2184873949579832,0.01680672268907563,0.7226890756302521,0.0,0.0,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pima County,04019,1-Yes,5-Title I schoolwide school,0402,Yes participating without using any Provision or the CEO,Academy of Mathematics and Science Inc. (79961),0400368,528,Other,310,241,287,11,10,394,20,91,0,2,040036802037,79961,Academy of Math and Science,"Academy of Mathematics and Science, Inc.",68.5,2019,1,0.4564393939393939,0.5435606060606061,0.020833333333333332,0.01893939393939394,0.7462121212121212,0.03787878787878788,0.17234848484848486,0.0,0.003787878787878788,0.5871212121212122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Maricopa County,04013,1-Yes,5-Title I schoolwide school,0407,Yes under Provision 2,Academy of Mathematics and Science Inc. (92768),0400940,1132,Elementary,961,583,549,2,7,1015,65,34,1,8,040094003499,92768,Academy of Math and Science Camelback,"Academy of Mathematics and Science, Inc.",30.0,2019,1,0.515017667844523,0.48498233215547704,0.0017667844522968198,0.006183745583038869,0.8966431095406361,0.05742049469964664,0.030035335689045935,0.0008833922261484099,0.007067137809187279,0.848939929328622,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Maricopa County,04013,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,0407,Yes participating without using any Provision or the CEO,Academy of Mathematics and Science South Inc. (90878),0400891,948,Elementary,880,476,472,3,1,870,41,25,3,5,040089103581,90878,Academy of Math and Science Desert Sky,"Academy of Mathematics and Science South, Inc.",29.5,2019,1,0.5021097046413502,0.4978902953586498,0.0031645569620253164,0.0010548523206751054,0.9177215189873418,0.043248945147679324,0.026371308016877638,0.0031645569620253164,0.005274261603375527,0.9282700421940928,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Maricopa County,04013,1-Yes,5-Title I schoolwide school,0407,Yes under Provision 2,Academy of Mathematics and Science South Inc. (90878),0400891,527,Elementary,479,260,267,2,2,484,24,14,0,1,040089103399,90878,Academy of Mathematics and Science South,"Academy of Mathematics and Science South, Inc.",37.5,2019,1,0.49335863377609107,0.5066413662239089,0.003795066413662239,0.003795066413662239,0.9184060721062619,0.04554079696394687,0.026565464895635674,0.0,0.0018975332068311196,0.9089184060721063,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pima County,04019,1-Yes,2-Title I targeted assistance school,0402,No,Academy of Tucson Inc. (78897),0400202,214,Elementary,,102,112,1,1,50,10,128,3,21,040020203141,78897,Academy of Tucson Elementary School,"Academy of Tucson, Inc.",57.5,2019,1,0.4766355140186916,0.5233644859813084,0.004672897196261682,0.004672897196261682,0.2336448598130841,0.04672897196261682,0.5981308411214953,0.014018691588785047,0.09813084112149532,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
