County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,School Level,Agency Name,Agency ID - NCES Assigned,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,School ID - NCES Assigned,District Entity ID,School Name,District Name,Average Percent Passing,Year,Charter School Dummy,Male Students Percentage,Female Students Percentage,American Indian/Alaska Native Students Percentage,Asian or Asian/Pacific Islander Students Percentage,Hispanic Students Percentage,Black or African American Students Percentage,White Students Percentage,Nat. Hawaiian or Other Pacific Isl. Students Percentage,Two or More Races Students Percentage,Free and Reduced Lunch Students Percentage,School Level: Primary,School Level: Middle,School Level: High,School Level: Other,Apache County,Cochise County,Coconino County,Gila County,Graham County,Greenlee County,La Paz County,Maricopa County,Mohave County,Navajo County,Pima County,Pinal County,Santa Cruz County,Yavapai County,Yuma County,0403,0401,0406,0407,0404,0402,0405,0409,0408
Santa Cruz County,4023.0,2-No,5-Title I schoolwide school,403.0,Yes under Community Eligibility Option (CEO),Elementary,Nogales Unified District (4457),405530.0,294,269,152,142,0,0,292,2,0,0,0,040553000451,4457,A J Mitchell Elementary School,Nogales Unified District,14.5,2022,0,0.5170068027210885,0.48299319727891155,0.0,0.0,0.9931972789115646,0.006802721088435374,0.0,0.0,0.0,0.9149659863945578,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Pinal County,4021.0,1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,401.0,Yes participating without using any Provision or the CEO,High,A+ Charter Schools (1000166),400998.0,249,36,147,102,2,2,105,33,91,1,15,040099803681,1000166,A+ Charter Schools,A+ Charter Schools,27.0,2022,1,0.5903614457831325,0.40963855421686746,0.008032128514056224,0.008032128514056224,0.42168674698795183,0.13253012048192772,0.3654618473895582,0.004016064257028112,0.060240963855421686,0.14457831325301204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Pima County,4019.0,2-No,6-Not a Title I school,401.0,No,High,Marana Unified District (4404),404630.0,10,,8,2,1,0,6,0,3,0,0,040463000999,4404,A. C. E.,Marana Unified District,,2022,0,0.8,0.2,0.1,0.0,0.6,0.0,0.3,0.0,0.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Maricopa County,4013.0,1-Yes,2-Title I targeted assistance school,406.0,No,High,Arizona Agribusiness & Equine Center Inc. (4331),400106.0,322,,117,205,1,8,62,7,230,0,14,040010601892,4331,AAEC - Paradise Valley,"Arizona Agribusiness & Equine Center, Inc.",65.0,2022,1,0.36335403726708076,0.6366459627329193,0.003105590062111801,0.024844720496894408,0.19254658385093168,0.021739130434782608,0.7142857142857143,0.0,0.043478260869565216,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Maricopa County,4013.0,1-Yes,5-Title I schoolwide school,407.0,Yes participating without using any Provision or the CEO,High,Arizona Agribusiness & Equine Center Inc. (85816),400417.0,499,92,211,288,5,5,427,25,31,0,6,040041701588,85816,AAEC - SMCC Campus,"Arizona Agribusiness & Equine Center, Inc.",20.5,2022,1,0.4228456913827655,0.5771543086172345,0.01002004008016032,0.01002004008016032,0.8557114228456913,0.050100200400801605,0.06212424849699399,0.0,0.012024048096192385,0.1843687374749499,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Maricopa County,4013.0,1-Yes,6-Not a Title I school,409.0,No,High,Arizona Agribusiness & Equine Center INC. (134379),400969.0,42,,15,27,0,3,15,1,21,2,0,040096903751,134379,AAEC Online,Arizona Agribusiness & Equine Center INC.,41.5,2022,1,0.35714285714285715,0.6428571428571429,0.0,0.07142857142857142,0.35714285714285715,0.023809523809523808,0.5,0.047619047619047616,0.0,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Yavapai County,4025.0,2-No,5-Title I schoolwide school,404.0,Yes participating without using any Provision or the CEO,Elementary,Prescott Unified District (4466),406730.0,477,76,235,242,3,6,97,3,345,1,22,040673001433,4466,Abia Judd Elementary School,Prescott Unified District,57.5,2022,0,0.49266247379454925,0.5073375262054507,0.006289308176100629,0.012578616352201259,0.20335429769392033,0.006289308176100629,0.7232704402515723,0.0020964360587002098,0.04612159329140461,0.15932914046121593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Maricopa County,4013.0,2-No,6-Not a Title I school,406.0,Yes under Community Eligibility Option (CEO),Elementary,Washington Elementary School District (4260),409060.0,530,227,258,272,5,29,268,23,158,4,43,040906000652,4260,Abraham Lincoln Traditional School,Washington Elementary School District,58.0,2022,0,0.4867924528301887,0.5132075471698113,0.009433962264150943,0.05471698113207547,0.5056603773584906,0.04339622641509434,0.2981132075471698,0.007547169811320755,0.08113207547169811,0.42830188679245285,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Maricopa County,4013.0,2-No,5-Title I schoolwide school,406.0,Yes under Community Eligibility Option (CEO),Elementary,Washington Elementary School District (4260),409060.0,763,586,388,375,11,12,396,56,253,1,34,040906000915,4260,Acacia Elementary School,Washington Elementary School District,52.0,2022,0,0.508519003931848,0.49148099606815204,0.014416775884665793,0.015727391874180863,0.5190039318479686,0.07339449541284404,0.3315858453473132,0.001310615989515072,0.04456094364351245,0.7680209698558322,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pima County,4019.0,2-No,6-Not a Title I school,402.0,Yes participating without using any Provision or the CEO,Elementary,Vail Unified District (4413),408850.0,747,107,394,353,4,6,274,16,389,2,56,040885001510,4413,Acacia Elementary School,Vail Unified District,52.0,2022,0,0.5274431057563588,0.4725568942436412,0.00535475234270415,0.008032128514056224,0.3668005354752343,0.0214190093708166,0.5207496653279786,0.002677376171352075,0.0749665327978581,0.14323962516733602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Pima County,4019.0,1-Yes,5-Title I schoolwide school,402.0,Yes under Community Eligibility Option (CEO),Elementary,Ed Ahead (90506),400817.0,35,32,14,21,4,1,18,6,6,0,0,040081703191,90506,Academy Adventures Midtown,Ed Ahead,,2022,1,0.4,0.6,0.11428571428571428,0.02857142857142857,0.5142857142857142,0.17142857142857143,0.17142857142857143,0.0,0.0,0.9142857142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
